nome_aeroporto,icao_aerodromo,icao_empresa_aerea,razao_social,rotas_saida,rotas_chegada,total_pousos_decolagens
Eirunepé Airport (Amaury Feitosa Tomaz Airport),SWEI,PAM,MAP TRANSPORTES AÉREOS LTDA.,2,2,308
Palmas–Brigadeiro Lysias Rodrigues Airport,SBPJ,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,6,5,1153
Los Angeles International Airport,KLAX,KAL,,1,1,280
Mexico City International Airport,MMMX,AMX,,1,1,718
El Dorado International Airport,SKBO,AVA,,3,2,572
Carutapera Airport,SNCP,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),3,2,14
Carutapera Airport,SNCP,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),3,2,14
Teniente General Benjamín Matienzo International Airport,SANT,QTR,,2,1,5
La Aurora International Airport,MGGT,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,8
Ted Stevens Anchorage International Airport,PANC,KAL,,1,1,264
Campo Grande International Airport,SBCG,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,5,5,2648
Barra do Garças Airport,SBBW,OWT,,3,2,373
Ernesto Cortissoz International Airport,SKBQ,AVA,,1,1,2
Ernesto Cortissoz International Airport,SKBQ,LAP,,1,1,2
Ernesto Cortissoz International Airport,SKBQ,TAM,TAM LINHAS AÉREAS S.A.,1,1,2
Istanbul Atatürk Airport,LTBA,THY,,2,3,177
Breves Airport,SNVS,OWT,,4,2,694
Mohammed V International Airport,GMMN,RAM,,2,2,12
General Leite de Castro Airport,SWLC,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,396
Zaragoza Airport,LEZG,QTR,,3,2,6
Hartsfield–Jackson Atlanta International Airport,KATL,DAL,,1,1,669
Monte Alegre Airport,SNMA,OWT,,1,3,65
Dubai International Airport,OMDB,UAE,,2,3,886
Apucarana Airport,SSAP,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),1,1,28
Apucarana Airport,SSAP,ASO,AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),1,1,28
