razao_social,nome_aeroporto_origem,icao_origem_rota,estado_origem,nome_aeroporto_destino,icao_destino_rota,estado_destino
ABSA - AEROLINHAS BRASILEIRAS S.A.,Mariscal Sucre International Airport,SEQM,Pichincha,Miami International Airport,KMIA,Florida
AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),Hercílio Luz International Airport,SBFL,Santa Catarina,Caçador Airport,SBCD,Santa Catarina
ASTA LINHAS AÉREAS LTDA ( EX - AMÉRICA DO SUL LINHAS AÉREAS LTDA.),Marechal Rondon International Airport,SBCY,Mato Grosso,Juína Airport,SWJN,State of Mato Grosso
AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),Coari Airport,SWKO,State of Amazonas,Eduardo Gomes International Airport,SBEG,Amazonas
AZUL LINHAS AÉREAS BRASILEIRAS S/A,Viracopos/Campinas International Airport,SBKP,São Paulo,Santos Dumont Airport,SBRJ,Rio de Janeiro
GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),Santos Dumont Airport,SBRJ,Rio de Janeiro,São Paulo–Congonhas Airport,SBSP,São Paulo
MODERN TRANSPORTE AEREO DE CARGA S.A,Viracopos/Campinas International Airport,SBKP,São Paulo,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),SBBR,Distrito Federal
PASSAREDO TRANSPORTES AÉREOS S.A.,Porto Seguro Airport,SBPS,Bahia,Deputado Luís Eduardo Magalhães International Airport,SBSV,Bahia
SIDERAL LINHAS AÉREAS LTDA.,São Paulo–Guarulhos International Airport,SBGR,São Paulo,Recife/Guararapes–Gilberto Freyre International Airport,SBRF,Pernambuco
TAM LINHAS AÉREAS S.A.,São Paulo–Congonhas Airport,SBSP,São Paulo,Santos Dumont Airport,SBRJ,Rio de Janeiro
TOTAL LINHAS AÉREAS S.A.,Afonso Pena International Airport,SBCT,Paraná,São Paulo–Guarulhos International Airport,SBGR,São Paulo
TOTAL LINHAS AÉREAS S.A.,Hercílio Luz International Airport,SBFL,Santa Catarina,Afonso Pena International Airport,SBCT,Paraná
AEROSUL TÁXI AÉREO LTDA (EX.: AUSTEN TÁXI AÉREO LTDA),Hercílio Luz International Airport,SBFL,Santa Catarina,Caçador Airport,SBCD,Santa Catarina
OMNI TÁXI AÉREO S.A.,Santa Maria Airport,SBAR,California,Rio de Janeiro–Galeão International Airport,SBGL,Rio de Janeiro
OMNI TÁXI AÉREO S.A.,Rio de Janeiro–Galeão International Airport,SBGL,Rio de Janeiro,Santa Maria Airport,SBAR,California
SIDERAL LINHAS AÉREAS LTDA.,São Paulo–Guarulhos International Airport,SBGR,São Paulo,Recife/Guararapes–Gilberto Freyre International Airport,SBRF,Pernambuco
